Address; Name; Size
"$ 00,000"; "hex dump"; ""
"$ 04,288"; "transfer function coefficient"; "1x1"
"$ 0428A"; "transfer function coefficient"; "1x1"
"$ 0428C"; "transfer function coefficient"; "1x1"
"$ 09B6F"; "Exhaust gas temperature threshold for signal interruption with Ri diagnosis behind KAT"; "1x1"
"$ 01A14"; "Exhaust gas temperature threshold for signal interruption with Ri diagnosis before CAT"; "1x1"
"$ 01A55"; "threshold number of starts with gasoline in oil for reduced LRA"; "1x1"
"$ 01A56"; "maximum number of start counter for detecting gasoline in the oil"; "1x1"
"$ 02,198"; ""; "1x1"
"$ 07AD1"; "debounce on ACC counter error"; "1x1"
"$ 02,199"; ""; "1x1"
"$ 07AD2"; "Error time for ACC intervention monitoring of the function monitoring"; "1x1"
"$ 07C6B"; "Error time with mutually implausible ADC values ??for sp1s"; "1x1"
"$ 019D4"; "Normalization factor for signal amplitude of the probe or cat load"; "1x1"
"$ 010BC"; "Tolerance for reducing the misfire window in terms of speed"; "1x1"
"$ 09B7E"; "Number of gear changes for diagnostic clutch switch"; "1x1"
"$ 05F3E"; "Misfire frequency to reach legal exhaust limits"; "1x1"
"$ 05F40"; "Misfire frequency to reach the legal exhaust limits"; "1x1"
"$ 05F42"; "Misfire Frequency for Hiding Other Functions"; "1x1"
"$ 05F44"; "Misfire Frequency to Achieve Fuel Cut Off"; "1x1"
"$ 05F46"; "Misfire Frequency to Achieve Catalyst Damage"; "1x1"
"$ 05F48"; "Misfire Frequency to Achieve Cat Damage in the 1st Interval after Startup"; "1x1"
"$ 0ACBE"; "Threshold Correction DKAT Depending on the Mileage"; "2x1"
"$ 019D5"; "Threshold catalyst good, AHKAT <AHKATMN"; "1x1"
"$ 019D6"; "Catalyst Defective Threshold, AHKAT> AHKATMX"; "1x1"
"$ 019D7"; "Threshold for sum AHKAT, AHKAT2 (Stereo)"; "1x1"
"$ 019D8"; "Sum Range Error (Stereo) Threshold"; "1x1"
"$ 06792"; "Set value for timer in signal evaluation"; "1x1"
"$ 07394"; "threshold for fault detection loss torque"; "1x1"
"$ 042F4"; "Number of speed pulses per km for normalization v signal"; "1x1"
"$ 05F4A"; "intervals with cat damage for Ti shutdown"; "1x1"
"$ 0A53E"; "Maximum number of i.O. checks in tank ventilation diagnosis"; "1x1"
"$ 09B7F"; "Number of clutch operated for diagnostic clutch switch"; "1x1"
"$ 05F4C"; "Initial value for learning filter in fuel-on / fuel-off adaptation"; "1x1"
"$ 0134F"; "Number of burns for fades after detected misfire"; "1x1"
"$ 02360"; "Number of pukor storage values ??for pu-gradient calculation"; "1x1"
"$ 0009E"; "Number of NW flanks per NW revolution"; "1x1"
"$ 0009E"; "Number of NW flanks per NW revolution"; "1x1"
"$ 010F3"; "Number of NW Revs for Healing"; "1x1"
"$ 010F4"; "Number of NW revolutions for reactivation fuel-on / -off Adaptation after suppression"; "1x1"
"$ 00165"; "Number of NW revolutions for ignition suppression in fuel-off adaptation"; "1x1"
"$ 00022"; "tolerance threshold for adaptive holding TV"; "1x1"
"$ 00162"; "Number of Periods for Usvk Period Monitoring Ready Flag"; "1x1"
"$ 09B61"; "Number of dynamic measurements for vibration test probe behind CAT"; "1x1"
"$ 01A15"; "Number of mixture errors"; "1x1"
"$ 00A34"; "Number of Ri calculations behind CAT"; "1x1"
"$ 00094"; "Number of Ri calculations before CAT"; "1x1"
"$ 06B24"; "limit ti injection counter" "anztib_w" ""; "1x1"
"$ 01B02"; "Number of injections for re-start detection"; "1x1"
"$ 00163"; "Number of periods to be hidden for period duration monitoring"; "1x1"
"$ 01A50"; "Maximum number of consecutively allowed tips"; "1x1"
"$ 0A53F"; "maximum number of checks in tank ventilation diagnosis"; "1x1"
"$ 019D9"; "maximum number of error checks in cat diagnosis"; "1x1"
"$ 096D3"; "maximum number of signal errors"; "1x1"
"$ 0009C"; "Upper Limit of Signal Error Counter"; "1x1"
"$ 06CC2"; "Anzti threshold for switching from lamns_w to lamwl_w"; "12x1"
"$ 098CA"; "exhaust temperature decrease factor = f (shutdown time)"; "6x1"
"$ 098D0"; "Exhaust temperature decrease factor = f (stop time) Bank2"; "6x1"
"$ 098D6"; "catalyst temperature decrease factor = f (shutdown time)"; "6x1"
"$ 098DC"; "catalyst temperature decrease factor = f (stop time) bank 2"; "6x1"
"$ 0AB0C"; "exhaust temperature model temperature correction"; "3x1"
"$ 09CB9"; "upper limit for atvfett, CARB tester, DLSSA"; "1x1"
"$ 09CB9"; "upper limit for atvfett, CARB tester, DLSSA"; "1x1"
"$ 09CBA"; "lower limit for atvfett, CARB tester, DLSSA"; "1x1"
"$ 09CBA"; "lower limit for atvfett, CARB tester, DLSSA"; "1x1"
"$ 02739"; "Initialization value for manipulated variable atv, Activate via codeword NOATV"; "1x1"
"$ 0273A"; "initialization value for manipulated variable atv, bank 2, activation via codeword NOATV"; "1x1"
"$ 09CBB"; "upper limit for atvmager, CARB tester, DLSSA"; "1x1"
"$ 09CBB"; "upper limit for atvmager, CARB tester, DLSSA"; "1x1"
"$ 09CBC"; "lower limit for atvmager, CARB tester, DLSSA"; "1x1"
"$ 09CBC"; "lower limit for atvmager, CARB tester, DLSSA"; "1x1"
"$ 0273B"; "lower control range limit for manipulated variable atv"; "1x1"
"$ 0273C"; "upper control range limit for manipulated variable atv"; "1x1"
"$ 07C6F"; "Cure time for cyclic RAM checking of function monitoring"; "1x1"
"$ 07C70"; "Fault Tolerance Threshold for Cyclic RAM Check in Function Monitoring"; "1x1"
"$ 07C71"; "Cure Time for Cyclic ROM Checking Function Monitoring Error"; "1x1"
"$ 07C72"; "Fault Tolerance Threshold for Cyclic ROM Check in Function Monitoring"; "1x1"
"$ 019DA"; "Set value for AVKATF if Powerfail"; "1x1"
"$ 01342"; "Number of NW reversing / burning f. Reactivation misfire detection after blanking"; "1x1"
"$ 09252"; "Number of firings per cylinder at KR load dynamics"; "16x1"
"$ 09262"; "Number of ignitions for KR speed dynamics"; "16x1"
"$ 010BD"; "Maximum number of cylinders with Ti shutdown due to dropouts"; "1x1"
"$ 0428E"; "transfer function coefficient"; "1x1"
"$ 04,290"; "transfer function coefficient"; "1x1"
"$ 01A46"; "Upper threshold for acceleration in FGR control mode"; "1x1"
"$ 01A47"; "Lower Threshold for Acceleration in FGR Operation"; "1x1"
"$ 0678A"; "Number of BM errors (counter initial value)"; "1x1"
"$ 0678C"; "Counter maximum value for BM error"; "1x1"
"$ 068A0"; "Acceleration on Ramp Acceleration"; "8x1"
"$ 01A51"; "acceleration (amount) at ramp tip-down"; "1x1"
"$ 01A52"; "acceleration at ramp tip-up"; "1x1"
"$ 0AD68"; "Acceleration ramp resumption in landing mode area 1"; "8x1"
"$ 0AD8A"; "Acceleration ramp resumption in landing mode area 2"; "8x1"
"$ 0ADAC"; "Acceleration ramp resumption in landing mode area 3"; "8x1"
"$ 068C2"; "Acceleration ramp resumption"; "8x1"
"$ 07A64"; "Debounce time for actuated brake in the function monitoring"; "1x1"
"$ 0A239"; "Release B_trkh"; "8x1"
"$ 07AD3"; "MSR message counter mask (0Fh for 4-bit message counter)"; "1x1"
"$ 07AD3"; "MSR message counter mask (0Fh for 4-bit message counter)"; "1x1"
"$ 0219A"; ""; "1x1"
"$ 00,054"; ""; "1x1"
"$ 0008A"; "Codeword Configuration Function BGRLP"; "1x1"
"$ 01EE6"; "Deactivate code word DAGR (EURO coding), CD .. = 0 -> no diagnosis"; "1x1"
"$ 02345"; "Codeword function request Lambda probe behind Kat"; "1x1"
"$ 02346"; "Codeword function request Lambda probe behind Cat 2"; "1x1"
"$ 010F5"; "Codeword for switching off and resetting the adaptation"; "1x1"
"$ 01EE7"; "Codeword heater diagnostics behind Kat (CDHSH = 0 => no diagnostics)"; "1x1"
"$ 01EE8"; "Codeword heater diagnosis before cat in (CDHSV = 0 => no diagnosis)"; "1x1"
"$ 01EE8"; "Codeword heater diagnosis before cat in (CDHSV = 0 => no diagnosis)"; "1x1"
"$ 064A8"; "dummy: beginning of table"; "1x1"
"$ 064AA"; "Codeword Customer: Shut-Off Valve Activated Carbon Filter (Function)"; "1x1"
"$ 064AC"; ""; "1x1"
"$ 064AE"; "Codeword customer: monitoring EGR power amplifier"; "1x1"
"$ 064B0"; "Codeword Customer: Monitoring EGR-FLOW"; "1x1"
"$ 064B2"; ""; "1x1"
"$ 064B4"; "Codeword Customer: ASR - Intervention"; "1x1"
"$ 019DB"; "Codeword for B_lrka active"; "1x1"
"$ 064B6"; "Codeword Customer: Reference Brand"; "1x1"
"$ 064B8"; "Codeword customer: BRAKE (brake switch)"; "1x1"
"$ 064BA"; "Codeword customer: PWG motion"; "1x1"
"$ 064BC"; "Codeword customer: CAN_ Timeout ACC message"; "1x1"
"$ 064BE"; "Codeword customer: CAN interface, Timeout ASC"; "1x1"
"$ 064C0"; "Codeword customer: CAN interface, timeout EGS"; "1x1"
"$ 064C2"; "Codeword customer: CAN-timeout, Instruments"; "1x1"
"$ 064C4"; "Codeword customer: DK - Potentiometer"; "1x1"
"$ 064C6"; "Codeword Customer: Throttle 1. Poti"; "1x1"
"$ 064C8"; "Codeword Customer: Throttle Pot 2"; "1x1"
"$ 064CA"; "Codeword Customer: Pressure Sensor Boost Pressure"; "1x1"
"$ 064CC"; "Codeword customer: Suction tube pressure sensor"; "1x1"
"$ 064CE"; "Codeword Customer: Pressure Sensor Environment"; "1x1"
"$ 064D0"; ""; "1x1"
"$ 064D2"; "Codeword customer: DV-E power amp"; "1x1"
"$ 064D4"; "Codeword customer: DV-E spring failure test"; "1x1"
"$ 064D6"; "Codeword customer: DV-E positional deviation"; "1x1"
"$ 064D8"; "Codeword customer: DV-E error at check emergency stop position"; "1x1"
"$ 064DA"; "Codeword customer: DV-E control range"; "1x1"
"$ 064DC"; "Codeword customer: DV-E error in UMA learning"; "1x1"
"$ 064DE"; "Codeword customer: DV-E amplifier gain error"; "1x1"
"$ 064E0"; "Codeword customer: Anti-theft alarm system"; "1x1"
