time;Intake temp.          ;Throttle pos.                     ;Injection time             ;Vehicle speed       ;Coolant temp.     ;Lambdaintegrator 1                 ;Lambdaintegrator 2                 ;Air mass                     ;Load                         ;Current RPM                 ;Target RPM               ;Engine temp.               ;Pedal pos.                  ;Battery voltage                         ;camshaft position bank 1;camshaft position bank 2;Ignition angle              ;Knock sensor Cyl.1;Knock sensor Cyl.2;Knock sensor Cyl.3;Knock sensor Cyl.4;Knock sensor Cyl.5;Knock sensor Cyl.6;Knock sensor Cyl.7;Knock sensor Cyl.8;Lambdasondenspannung n Kat    ;Lambdasondenspannung n Kat 2  
302;;;;;;;;;;;;;;;;;;;;;;;;;;6.2487;6.2487
952;36.75;3.52944;4.048;0;31.5;0.999424;0.999424;21.5;6.4927;639;650;58.5;0.781248;13.965;0.8346;-0.1638;-0.75;0.859364;1.05467;0.859364;0.937488;1.01561;1.28905;0.859364;0.898426;6.2487;6.2487
1096;36.75;3.52944;4.048;0;31.5;0.999424;0.999424;21.5;6.4927;639;650;58.5;0.781248;13.965;0.8346;-0.1638;-0.75;0.859364;1.05467;0.859364;0.937488;1.01561;1.28905;0.859364;0.898426;6.2487;6.2487
1389;36.75;3.52944;4.048;0;31.5;0.999424;0.999424;21.4;6.50339;642.25;650;58.5;0.781248;13.775;-0.4797;-0.5187;-0.75;0.898426;1.09374;0.898426;0.97655;0.97655;1.28905;0.898426;0.898426;6.2487;6.2487
1576;36.75;3.52944;4.048;0;31.5;0.999424;0.999424;21.4;6.50339;642.25;650;58.5;0.781248;13.775;-0.4797;-0.5187;-0.75;0.898426;1.09374;0.898426;0.97655;0.97655;1.28905;0.898426;0.898426;6.2487;6.2487
1715;36.75;3.52944;4.016;0;31.5;0.999424;0.999424;21;6.22262;646.25;650;58.5;0.781248;13.965;-0.5148;-0.0039;-1.5;0.820302;1.05467;0.898426;0.937488;1.01561;1.36717;0.820302;0.898426;6.2487;6.2487
1936;36.75;3.52944;4.016;0;31.5;0.999424;0.999424;21;6.22262;646.25;650;58.5;0.781248;13.965;-0.5148;-0.0039;-1.5;0.820302;1.05467;0.898426;0.937488;1.01561;1.36717;0.820302;0.898426;6.2487;6.2487
2074;36.75;3.52944;4;0;31.5;0.999424;0.999424;21;6.37368;642.75;650;58.5;0.781248;13.775;0.4992;-0.1599;-0.75;0.859364;1.09374;0.859364;0.937488;0.97655;1.28905;0.898426;0.898426;6.2487;6.2487
2387;36.75;3.52944;4;0;31.5;0.999424;0.999424;21;6.37368;642.75;650;58.5;0.781248;13.775;0.4992;-0.1599;-0.75;0.859364;1.09374;0.859364;0.937488;0.97655;1.28905;0.898426;0.898426;6.2487;6.2487
2563;36.75;3.52944;4;0;31.5;0.999424;0.999424;20.9;6.35232;644;650;58.5;0.781248;13.68;0.8931;0.0858;-0.75;0.937488;1.09374;0.937488;0.937488;0.97655;1.21092;0.898426;0.898426;6.2487;6.2487
2929;36.75;3.52944;4;0;31.5;0.999424;0.999424;20.9;6.35232;644;650;58.5;0.781248;13.68;0.8931;0.0858;-0.75;0.937488;1.09374;0.937488;0.937488;0.97655;1.21092;0.898426;0.898426;6.2487;6.2487
3108;36.75;3.13728;3.952;0;31.5;0.999424;0.999424;20.4;6.29739;645;650;58.5;0.781248;13.965;0.9243;-0.1326;-0.75;0.898426;1.05467;0.97655;0.97655;1.05467;1.24998;0.859364;0.97655;6.2487;6.2487
3396;36.75;3.13728;3.952;0;31.5;0.999424;0.999424;20.4;6.29739;645;650;58.5;0.781248;13.965;0.9243;-0.1326;-0.75;0.898426;1.05467;0.97655;0.97655;1.05467;1.24998;0.859364;0.97655;6.2487;6.2487
3678;36.75;3.13728;3.92;0;31.5;0.999424;0.999424;20.4;6.52322;640.5;650;58.5;0.781248;13.775;-0.7605;-0.4563;0.75;0.937488;1.05467;0.937488;0.898426;1.05467;1.28905;0.898426;1.01561;6.2487;6.2487
4047;36.75;3.13728;3.92;0;31.5;0.999424;0.999424;20.4;6.52322;640.5;650;58.5;0.781248;13.775;-0.7605;-0.4563;0.75;0.937488;1.05467;0.937488;0.898426;1.05467;1.28905;0.898426;1.01561;6.2487;6.2487
4446;36.75;3.13728;3.92;0;31.5;0.999424;0.999424;19.9;6.48965;644.25;650;58.5;0.781248;13.49;-0.4212;0.0273;0.75;0.859364;1.05467;0.898426;0.898426;1.05467;1.1328;0.898426;0.97655;6.2487;6.2487
4875;36.75;3.13728;3.92;0;31.5;0.999424;0.999424;19.9;6.48965;644.25;650;58.5;0.781248;13.49;-0.4212;0.0273;0.75;0.859364;1.05467;0.898426;0.898426;1.05467;1.1328;0.898426;0.97655;6.2487;6.2487
5179;36.75;3.13728;3.888;0;31.5;0.999424;0.999424;19.6;6.60867;638.75;650;58.5;0.781248;13.87;0.897;-0.1326;1.5;0.820302;1.01561;0.898426;0.937488;1.09374;1.05467;0.859364;0.937488;6.2487;6.2487
5491;36.75;3.13728;3.888;0;31.5;0.999424;0.999424;19.6;6.60867;638.75;650;58.5;0.781248;13.87;0.897;-0.1326;1.5;0.820302;1.01561;0.898426;0.937488;1.09374;1.05467;0.859364;0.937488;6.2487;6.2487
5865;36.75;3.13728;3.808;0;31.5;0.999424;0.999424;19.5;6.52475;639.75;650;58.5;0.781248;13.965;-0.1365;-0.2262;2.25;0.820302;0.97655;0.937488;0.898426;1.01561;0.97655;0.859364;0.898426;6.2487;6.2487
6376;36.75;3.13728;3.808;0;31.5;0.999424;0.999424;19.5;6.52475;639.75;650;58.5;0.781248;13.965;-0.1365;-0.2262;2.25;0.820302;0.97655;0.937488;0.898426;1.01561;0.97655;0.859364;0.898426;6.2487;6.2487
6564;36.75;3.13728;3.84;0;31.5;0.999424;0.999424;20.3;6.76126;642;650;58.5;0.781248;13.965;-0.7176;-0.2847;2.25;0.820302;0.937488;1.09374;0.97655;1.05467;1.17186;0.937488;0.898426;6.2487;6.2487
6735;36.75;3.13728;3.84;0;31.5;0.999424;0.999424;20.3;6.76126;642;650;58.5;0.781248;13.965;-0.7176;-0.2847;2.25;0.820302;0.937488;1.09374;0.97655;1.05467;1.17186;0.937488;0.898426;6.2487;6.2487
6874;36.75;3.13728;3.824;0;31.5;0.999424;0.999424;19.9;6.48965;645;650;59.25;0.786131;13.775;-0.7566;-0.3354;1.5;0.859364;0.97655;1.05467;0.97655;1.05467;1.17186;0.859364;0.97655;6.2487;6.2487
7104;36.75;3.13728;3.824;0;31.5;0.999424;0.999424;19.9;6.48965;645;650;59.25;0.786131;13.775;-0.7566;-0.3354;1.5;0.859364;0.97655;1.05467;0.97655;1.05467;1.17186;0.859364;0.97655;6.2487;6.2487
7243;36.75;3.13728;3.792;0;31.5;0.999424;0.999424;19.7;6.47745;645.5;650;59.25;0.781248;13.87;-0.9126;-0.3042;1.5;0.859364;1.01561;0.97655;0.937488;1.05467;1.21092;0.859364;0.97655;6.2487;6.2487
7390;36.75;3.13728;3.792;0;31.5;0.999424;0.999424;19.7;6.47745;645.5;650;59.25;0.781248;13.87;-0.9126;-0.3042;1.5;0.859364;1.01561;0.97655;0.937488;1.05467;1.21092;0.859364;0.97655;6.2487;6.2487
7703;36.75;3.13728;3.68;0;31.5;0.999424;0.999424;18.9;6.9047;638.75;650;59.25;0.781248;13.965;-0.9789;-0.7059;3.75;0.859364;1.09374;0.937488;0.97655;1.09374;1.28905;0.820302;0.937488;6.2487;6.2487
12888;36.75;3.13728;3.68;0;31.5;0.999424;0.999424;18.9;6.9047;638.75;650;59.25;0.781248;13.965;-0.9789;-0.7059;3.75;0.859364;1.09374;0.937488;0.97655;1.09374;1.28905;0.820302;0.937488;6.2487;6.2487
13641;36.75;3.13728;3.616;0;31.5;0.999424;0.999424;18.7;6.76737;646.75;650;60;0.781248;13.775;-0.2184;-0.3822;5.25;0.859364;1.05467;0.937488;0.97655;1.21092;1.01561;0.859364;0.97655;6.2487;6.2487
14023;36.75;3.13728;3.616;0;31.5;0.999424;0.999424;18.7;6.76737;646.75;650;60;0.781248;13.775;-0.2184;-0.3822;5.25;0.859364;1.05467;0.937488;0.97655;1.21092;1.01561;0.859364;0.97655;6.2487;6.2487
15027;36.75;3.13728;3.616;0;31.5;0.999424;0.999424;18.9;7.16105;640.25;650;60;0.786131;13.965;-0.2457;-0.0507;6.75;0.820302;1.01561;0.859364;0.937488;1.21092;0.859364;0.859364;1.01561;6.2487;6.2487
15270;36.75;3.13728;3.616;0;31.5;0.999424;0.999424;18.9;7.16105;640.25;650;60;0.786131;13.965;-0.2457;-0.0507;6.75;0.820302;1.01561;0.859364;0.937488;1.21092;0.859364;0.859364;1.01561;6.2487;6.2487
15728;36.75;2.74512;3.472;0;31.5;0.999424;0.999424;18.1;7.04355;642;650;60;0.781248;13.775;-0.1755;-0.0702;6.75;0.937488;1.09374;0.898426;0.898426;1.01561;0.937488;0.859364;1.01561;6.2487;6.2487
15830;36.75;2.74512;3.472;0;31.5;0.999424;0.999424;18.1;7.04355;642;650;60;0.781248;13.775;-0.1755;-0.0702;6.75;0.937488;1.09374;0.898426;0.898426;1.01561;0.937488;0.859364;1.01561;6.2487;6.2487
16435;36.75;2.74512;3.504;0;31.5;0.999424;0.999424;18.2;7.00541;642.75;650;60;0.781248;13.775;-0.0663;-0.1365;6.75;0.859364;1.09374;0.859364;0.859364;1.09374;0.937488;0.937488;0.97655;6.2487;6.2487
16865;36.75;2.74512;3.504;0;31.5;0.999424;0.999424;18.2;7.00541;642.75;650;60;0.781248;13.775;-0.0663;-0.1365;6.75;0.859364;1.09374;0.859364;0.859364;1.09374;0.937488;0.937488;0.97655;6.2487;6.2487
17327;36.75;2.74512;3.44;0;31.5;0.999424;0.999424;18.3;7.23582;643;650;60;0.786131;13.965;-0.0078;0.1521;8.25;0.859364;1.05467;0.898426;0.97655;1.1328;0.97655;0.859364;0.937488;6.2487;6.2487
17712;36.75;2.74512;3.44;0;31.5;0.999424;0.999424;18.3;7.23582;643;650;60;0.786131;13.965;-0.0078;0.1521;8.25;0.859364;1.05467;0.898426;0.97655;1.1328;0.97655;0.859364;0.937488;6.2487;6.2487
18206;36.75;3.13728;3.424;0;31.5;0.999424;0.999424;18.7;7.23582;643.25;650;60;0.781248;13.965;0.1482;0.1872;8.25;0.898426;1.05467;0.898426;0.898426;1.1328;1.05467;0.97655;0.937488;6.2487;6.2487
18474;36.75;3.13728;3.424;0;31.5;0.999424;0.999424;18.7;7.23582;643.25;650;60;0.781248;13.965;0.1482;0.1872;8.25;0.898426;1.05467;0.898426;0.898426;1.1328;1.05467;0.97655;0.937488;6.2487;6.2487
18756;36.75;3.13728;3.392;0;31.5;0.999424;0.999424;17.8;7.24497;643.25;650;60;0.781248;13.965;0.0351;-0.1482;8.25;0.820302;1.05467;0.937488;0.898426;1.1328;1.05467;0.898426;0.937488;6.2487;6.2487
18888;36.75;3.13728;3.392;0;31.5;0.999424;0.999424;17.8;7.24497;643.25;650;60;0.781248;13.965;0.0351;-0.1482;8.25;0.820302;1.05467;0.937488;0.898426;1.1328;1.05467;0.898426;0.937488;6.2487;6.2487
19156;36.75;3.13728;3.424;0;31.5;0.999424;0.999424;18.1;7.23582;643.5;650;60;0.786131;13.965;0.0663;0.1677;8.25;0.898426;0.97655;1.01561;0.898426;1.1328;1.05467;0.937488;0.97655;6.2487;6.2487
19252;36.75;3.13728;3.424;0;31.5;0.999424;0.999424;18.1;7.23582;643.5;650;60;0.786131;13.965;0.0663;0.1677;8.25;0.898426;0.97655;1.01561;0.898426;1.1328;1.05467;0.937488;0.97655;6.2487;6.2487
19497;36.75;2.74512;3.392;0;31.5;0.999424;0.999424;17.9;7.25565;643.25;650;60;0.781248;13.965;-0.0195;0.0351;8.25;0.859364;1.01561;1.01561;0.898426;1.1328;1.09374;0.898426;0.937488;6.2487;6.2487
19588;36.75;2.74512;3.392;0;31.5;0.999424;0.999424;17.9;7.25565;643.25;650;60;0.781248;13.965;-0.0195;0.0351;8.25;0.859364;1.01561;1.01561;0.898426;1.1328;1.09374;0.898426;0.937488;6.2487;6.2487
19987;36;2.74512;3.376;0;31.5;0.999424;0.999424;17.8;7.38536;640.75;650;60;0.781248;13.965;0.0897;0.2145;9;0.859364;0.97655;0.937488;0.97655;1.1328;1.1328;0.859364;0.898426;6.2487;6.2487
20214;36;2.74512;3.376;0;31.5;0.999424;0.999424;17.8;7.38536;640.75;650;60;0.781248;13.965;0.0897;0.2145;9;0.859364;0.97655;0.937488;0.97655;1.1328;1.1328;0.859364;0.898426;6.2487;6.2487
20605;36;2.74512;3.344;0;31.5;0.999424;0.999424;17.9;7.19462;645.5;650;60;0.786131;13.965;0;-0.0663;8.25;0.898426;1.01561;0.97655;0.97655;1.24998;1.09374;0.898426;0.97655;6.2487;6.2487
20697;36;2.74512;3.344;0;31.5;0.999424;0.999424;17.9;7.19462;645.5;650;60;0.786131;13.965;0;-0.0663;8.25;0.898426;1.01561;0.97655;0.97655;1.24998;1.09374;0.898426;0.97655;6.2487;6.2487
21045;36;2.74512;3.28;0;31.5;0.999424;0.999424;17.9;6.7399;645.75;640;60.75;0.781248;13.965;-0.0078;0.2925;6;0.937488;1.01561;0.97655;0.97655;1.28905;1.01561;0.937488;0.898426;6.2487;6.2487
21149;36;2.74512;3.28;0;31.5;0.999424;0.999424;17.9;6.7399;645.75;640;60.75;0.781248;13.965;-0.0078;0.2925;6;0.937488;1.01561;0.97655;0.97655;1.28905;1.01561;0.937488;0.898426;6.2487;6.2487
21579;36;2.74512;3.36;0;31.5;0.999424;0.999424;17.8;7.31211;633.75;640;60.75;0.781248;13.395;-0.0507;-0.0078;9;0.898426;0.937488;0.937488;1.01561;1.24998;1.1328;0.820302;0.898426;6.2487;6.2487
21994;36;2.74512;3.36;0;31.5;0.999424;0.999424;17.8;7.31211;633.75;640;60.75;0.781248;13.395;-0.0507;-0.0078;9;0.898426;0.937488;0.937488;1.01561;1.24998;1.1328;0.820302;0.898426;6.2487;6.2487
22526;36;2.74512;3.296;0;31.5;0.999424;0.999424;17.4;7.85839;626.25;640;60.75;0.786131;13.68;0.2028;-0.0585;11.25;0.859364;0.97655;0.859364;1.01561;1.24998;1.17186;0.898426;0.97655;6.2487;6.2487
22617;36;2.74512;3.296;0;31.5;0.999424;0.999424;17.4;7.85839;626.25;640;60.75;0.786131;13.68;0.2028;-0.0585;11.25;0.859364;0.97655;0.859364;1.01561;1.24998;1.17186;0.898426;0.97655;6.2487;6.2487
22866;36;2.74512;3.296;0;31.5;0.999424;0.999424;17.8;7.58983;633.5;640;60.75;0.781248;14.06;0.2808;0.3705;10.5;0.820302;0.937488;0.820302;1.05467;1.21092;1.24998;0.898426;0.898426;6.2487;6.2487
22957;36;2.74512;3.296;0;31.5;0.999424;0.999424;17.8;7.58983;633.5;640;60.75;0.781248;14.06;0.2808;0.3705;10.5;0.820302;0.937488;0.820302;1.05467;1.21092;1.24998;0.898426;0.898426;6.2487;6.2487
23209;36;2.74512;3.296;0;31.5;0.999424;0.999424;17.9;7.58983;631;640;60.75;0.786131;13.68;0;0.156;10.5;0.859364;0.937488;0.859364;1.01561;1.24998;1.17186;0.898426;0.937488;6.2487;6.2487
23297;36;2.74512;3.296;0;31.5;0.999424;0.999424;17.9;7.58983;631;640;60.75;0.786131;13.68;0;0.156;10.5;0.859364;0.937488;0.859364;1.01561;1.24998;1.17186;0.898426;0.937488;6.2487;6.2487
23435;36;2.74512;3.296;0;31.5;0.999424;0.999424;17.8;7.89043;627.5;640;60.75;0.786131;13.775;0.1833;0.0312;11.25;0.898426;0.937488;0.820302;1.01561;1.21092;1.1328;0.898426;0.898426;6.2487;6.2487
23537;36;2.74512;3.296;0;31.5;0.999424;0.999424;17.8;7.89043;627.5;640;60.75;0.786131;13.775;0.1833;0.0312;11.25;0.898426;0.937488;0.820302;1.01561;1.21092;1.1328;0.898426;0.898426;6.2487;6.2487
23748;36;2.74512;3.28;0;31.5;0.999424;0.999424;17.8;7.4586;634;640;60.75;0.781248;13.965;0.2301;0.1833;9.75;0.937488;0.97655;0.898426;1.01561;1.1328;1.1328;0.898426;0.937488;6.2487;6.2487
23887;36;2.74512;3.28;0;31.5;0.999424;0.999424;17.8;7.4586;634;640;60.75;0.781248;13.965;0.2301;0.1833;9.75;0.937488;0.97655;0.898426;1.01561;1.1328;1.1328;0.898426;0.937488;6.2487;6.2487
24025;36;2.74512;3.28;0;31.5;0.999424;0.999424;18.2;7.46928;635;640;60.75;0.786131;13.965;-0.0663;0.1404;9.75;0.937488;0.97655;0.820302;1.01561;1.17186;1.09374;0.898426;0.859364;6.2487;6.2487
24186;36;2.74512;3.28;0;31.5;0.999424;0.999424;18.2;7.46928;635;640;60.75;0.786131;13.965;-0.0663;0.1404;9.75;0.937488;0.97655;0.820302;1.01561;1.17186;1.09374;0.898426;0.859364;6.2487;6.2487
24424;36;2.74512;3.28;0;31.5;0.999424;0.999424;17.9;7.66612;630.75;640;60.75;0.781248;13.965;0.1521;-0.0234;10.5;0.937488;1.01561;0.820302;0.97655;1.21092;1.01561;0.859364;0.859364;6.2487;6.2487
24516;36;2.74512;3.28;0;31.5;0.999424;0.999424;17.9;7.66612;630.75;640;60.75;0.781248;13.965;0.1521;-0.0234;10.5;0.937488;1.01561;0.820302;0.97655;1.21092;1.01561;0.859364;0.859364;6.2487;6.2487
24654;36;2.74512;3.28;0;31.5;0.999424;0.999424;17.9;7.48912;634.25;640;60.75;0.786131;13.965;0.2067;0.1755;9.75;0.859364;1.05467;0.859364;0.937488;1.21092;1.01561;0.898426;0.859364;6.2487;6.2487
24759;36;2.74512;3.28;0;31.5;0.999424;0.999424;17.9;7.48912;634.25;640;60.75;0.786131;13.965;0.2067;0.1755;9.75;0.859364;1.05467;0.859364;0.937488;1.21092;1.01561;0.898426;0.859364;6.2487;6.2487
24938;36;2.74512;3.312;0;31.5;0.999424;0.999424;17.8;7.47844;634.25;640;60.75;0.781248;13.49;-0.1092;0.1092;9.75;0.820302;1.01561;0.820302;0.97655;1.17186;1.05467;0.859364;0.820302;6.2487;6.2487
