time;Intake temp.          ;Throttle pos.                     ;Injection time             ;Vehicle speed       ;Coolant temp.     ;Lambdaintegrator 1                 ;Lambdaintegrator 2                 ;Air mass                     ;Load                         ;Current RPM                 ;Target RPM               ;Engine temp.               ;Pedal pos.                  ;Battery voltage                         ;camshaft position bank 1;camshaft position bank 2;Ignition angle              ;Knock sensor Cyl.1;Knock sensor Cyl.2;Knock sensor Cyl.3;Knock sensor Cyl.4;Knock sensor Cyl.5;Knock sensor Cyl.6;Knock sensor Cyl.7;Knock sensor Cyl.8
131;39;3.9216;4.4;0;31.5;0.999424;0.999424;22.2;6.64072;650;650;53.25;0.786131;13.87;-0.0936;0.2145;-1.5;0.859364;1.05467;0.97655;0.820302;0.97655;1.01561;0.898426;1.01561
329;39;3.9216;4.4;0;31.5;0.999424;0.999424;22;6.60867;646.25;650;53.25;0.786131;13.775;1.1778;0.0078;-1.5;0.859364;1.05467;0.937488;0.859364;1.01561;1.05467;0.859364;1.01561
571;39;3.9216;4.4;0;31.5;0.999424;0.999424;22.4;6.59799;646;650;53.25;0.786131;13.87;1.2363;-0.0507;-1.5;0.859364;1.05467;0.898426;0.820302;0.97655;1.01561;0.820302;0.937488
711;39;3.9216;4.416;0;31.5;0.999424;0.999424;22.6;6.60867;642.25;650;53.25;0.781248;13.775;0.3432;0.3705;-1.5;0.859364;1.05467;0.898426;0.820302;0.97655;1.05467;0.859364;0.937488
893;39;3.9216;4.448;0;31.5;0.999424;0.999424;22.3;6.61935;643.5;650;53.25;0.781248;13.49;0;0.1638;-1.5;0.78124;1.05467;0.937488;0.78124;1.01561;1.09374;0.820302;0.937488
1032;39;3.9216;4.4;0;31.5;0.999424;0.999424;22.1;6.60867;643.75;650;53.25;0.781248;13.775;1.3338;0.0078;-1.5;0.820302;1.01561;0.97655;0.820302;0.97655;1.1328;0.859364;0.97655
1181;39;3.9216;4.384;0;31.5;0.999424;0.999424;21.5;6.61935;644.75;650;53.25;0.781248;13.87;-0.5382;-0.195;-1.5;0.820302;1.05467;1.01561;0.859364;1.01561;1.1328;0.859364;0.97655
1361;39;3.9216;4.4;0;31.5;0.999424;0.999424;22.1;6.86045;639.75;650;54;0.786131;13.87;0.1482;-0.0702;-0.75;0.820302;1.01561;0.97655;0.898426;1.05467;1.05467;0.898426;0.937488
1501;39;3.9216;4.416;0;31.5;0.999424;0.999424;22.1;6.61935;645.25;650;54;0.781248;13.775;-0.5109;-0.2379;-1.5;0.859364;0.97655;0.97655;0.898426;1.05467;1.05467;0.859364;0.97655
1642;39;3.9216;4.416;0;31.5;0.999424;0.999424;22.1;6.63004;647;650;54;0.786131;13.49;-0.2496;0.2457;-1.5;0.820302;0.937488;0.898426;0.937488;1.05467;1.01561;0.898426;0.97655
1897;39;3.9216;4.4;0;31.5;0.999424;0.999424;22.2;6.83756;641.5;650;54;0.781248;13.87;0.2691;-0.1443;-0.75;0.78124;0.97655;0.898426;0.859364;1.01561;1.05467;0.859364;1.01561
2042;39;3.9216;4.4;0;31.5;0.999424;0.999424;22.1;6.63004;644.75;650;54;0.781248;13.965;-0.6396;0.0273;-1.5;0.820302;0.937488;0.859364;0.898426;0.97655;1.09374;0.898426;1.01561
