time;STAT_AFSCD_DMAIRNORM_WERT;STAT_AFSCD_MAIRPERCYL_WERT;STAT_AIRCTL_MDESVAL_WERT;STAT_APPCD_RFLT_WERT;STAT_BATTCD_U_WERT;STAT_BPSCD_POUTVAL_WERT;STAT_COENG_TRQ_WERT;STAT_CRCTL_NUMGEAR_WERT;STAT_CTSCD_TCLNT_WERT;STAT_EGRCD_ROUT_WERT;STAT_ENG_NAVRG_CARB_WERT;STAT_FTSCD_TFUEL_WERT;STAT_GEARBX_STGEAR_WERT;STAT_IATSCD_TAIRCATS_WERT;STAT_LSU_RLMBD[0]_WERT;STAT_OXICCD_TPRE_WERT;STAT_PCR_PBDESLP_MP_WERT;STAT_PFLTCD_PPRE_WERT;STAT_RAILCD_PPEAK_WERT;STAT_RAIL_PSETPOINT_WERT
172;61.8747;442.204;449.968;0;14.6034;1050.89;14.8696;0;86.4574;14.49;677;20.9545;0;19.9473;6.32509;179.971;828.888;1000.89;270.298;269.993
437;61.8747;438.59;449.968;0;14.623;1050.89;16.9297;0;86.2559;14.24;675;20.9545;0;19.9473;6.36535;179.971;826.888;1000.89;270.298;269.993
687;62.9001;437.077;449.968;0;14.6034;1050.89;14.7552;0;86.2559;14.31;686;20.8538;0;20.048;6.2464;179.971;836.888;1000.89;272.495;269.993
968;62.1677;438.786;449.968;0;14.1711;1050.89;14.5263;0;86.2559;14.79;680;20.9545;0;20.048;6.28544;179.971;832.888;1000.89;265.873;269.993
1250;61.1911;438.981;449.968;0;14.3676;1050.89;18.9897;0;86.2559;14.71;669;20.8538;0;20.048;6.28544;179.971;820.888;1000.89;263.676;269.993
1515;61.1911;434.684;449.968;0;14.7188;1050.89;24.2541;0;86.2559;14.31;669;20.8538;0;20.048;6.16832;179.971;820.888;1000.89;270.298;269.993
1750;62.1677;440.397;449.968;0;14.6599;1050.89;22.1941;0;86.2559;14.35;681;20.8538;1;20.048;5.84319;179.971;833.888;1000.89;274.693;269.993
2031;62.6071;444.987;449.968;0;14.6992;1050.89;20.363;1;86.2559;14.31;684;20.9545;1;20.1487;5.80964;179.971;835.888;1000.89;272.495;269.993
2359;60.5075;438.493;449.968;0;14.6599;1050.89;29.4042;1;86.2559;14.37;660;20.9545;1;20.1487;5.94811;179.971;813.888;1000.89;272.495;269.993
2640;59.0914;442.497;449.968;0;14.5051;1050.89;45.7698;1;86.2559;14.39;644;20.9545;1;20.1487;5.55161;179.971;800.888;1000.89;265.873;269.993
2875;60.068;425.407;451.384;6.19861;14.6795;1050.89;76.4411;1;86.2559;14.26;665;20.9545;1;20.2495;4.60489;179.971;869.889;1000.89;272.495;278.782
3125;76.2793;435.368;489.666;9.11632;14.6034;1050.89;75.9833;1;86.2559;14.33;831;20.8538;1;20.1487;3.13174;179.971;1024.89;1000.89;272.495;280.094
3390;82.7735;445.28;543.963;12.5712;14.6992;1054.89;91.3189;1;86.2559;14.3;903;20.9545;1;20.2495;3.29766;179.971;1083.89;1000.89;314.183;322.484
3609;98.6918;456.169;612.177;14.4878;14.6992;1058.89;108.6;1;86.2559;14.35;1068;20.9545;1;20.2495;2.66448;179.971;1156.89;1000.89;377.996;375.768
3875;116.661;484.294;655.782;15.9284;14.6599;1084.89;121.075;1;86.2559;14.28;1240;20.9545;1;20.3502;2.32349;181.971;1262.9;1000.89;419.684;414.679
4140;131.163;507.293;679.61;17.723;14.6427;1118.89;124.851;1;86.2559;14.31;1327;20.9545;1;20.5516;2.1716;181.971;1329.9;1001.89;439.49;432.776
4406;143.077;537.078;733.176;22.3254;14.4265;1161.89;139.729;1;86.2559;14.55;1397;20.9545;1;20.6523;2.21064;183.971;1426.9;1001.89;474.677;499.183
4640;168.664;569.403;773.802;25.2553;14.4265;1221.9;152.776;1;86.2559;14.49;1555;21.0552;1;20.7531;1.83244;185.972;1540.9;1001.89;540.596;534.675
4875;184.484;619.502;753.586;26.5371;14.5641;1298.9;146.024;1;86.2559;14.47;1596;21.0552;1;20.9545;1.87758;188.973;1528.9;1001.89;529.579;518.684
5109;203.088;645.088;882.495;31.8354;14.5837;1379.9;181.73;1;86.2559;14.47;1688;21.0552;1;21.0552;2.04777;190.973;1744.9;1002.89;639.474;696.39
5343;257.581;726.389;915.113;32.9708;14.5837;1503.9;199.584;1;86.2559;14.49;1947;21.156;2;21.2567;1.68177;192.974;1835.9;1002.89;788.982;766.49
5578;300.404;835.766;884.302;33.2882;14.6034;1691.9;199.813;2;86.2559;14.35;2005;21.156;2;21.7435;1.94346;196.975;1822.9;1004.89;802.074;771.77
5828;346.987;896.265;931.373;35.8274;14.5837;1849.91;222.13;2;86.2559;14.41;2114;21.156;2;21.8442;2.1533;198.975;1915.91;1007.89;804.271;811.382
6062;406.168;994.509;941.969;37.0116;14.6795;2016.91;232.658;2;86.2559;5;2240;21.2567;2;22.3478;2.23016;204.977;1991.91;1008.89;832.867;836.987
